Customer ID,total_spent,num_transactions,avg_transaction,age,gender,total_quantity,top_category,value_segment
CUST001,150,1,150.0,34,Male,3,Beauty,Medium-Value
CUST002,1000,1,1000.0,26,Female,2,Clothing,High-Value
CUST003,30,1,30.0,50,Male,1,Electronics,Low-Value
CUST004,500,1,500.0,37,Male,1,Clothing,Medium-Value
CUST005,100,1,100.0,30,Male,2,Beauty,Medium-Value
CUST006,30,1,30.0,45,Female,1,Beauty,Low-Value
CUST007,50,1,50.0,46,Male,2,Clothing,Low-Value
CUST008,100,1,100.0,30,Male,4,Electronics,Medium-Value
CUST009,600,1,600.0,63,Male,2,Electronics,High-Value
CUST010,200,1,200.0,52,Female,4,Clothing,Medium-Value
CUST011,100,1,100.0,23,Male,2,Clothing,Medium-Value
CUST012,75,1,75.0,35,Male,3,Beauty,Low-Value
CUST013,1500,1,1500.0,22,Male,3,Electronics,High-Value
CUST014,120,1,120.0,64,Male,4,Clothing,Medium-Value
CUST015,2000,1,2000.0,42,Female,4,Electronics,High-Value
CUST016,1500,1,1500.0,19,Male,3,Clothing,High-Value
CUST017,100,1,100.0,27,Female,4,Clothing,Medium-Value
CUST018,50,1,50.0,47,Female,2,Electronics,Low-Value
CUST019,50,1,50.0,62,Female,2,Clothing,Low-Value
CUST020,900,1,900.0,22,Male,3,Clothing,High-Value
CUST021,500,1,500.0,50,Female,1,Beauty,Medium-Value
CUST022,100,1,100.0,18,Male,2,Clothing,Medium-Value
CUST023,120,1,120.0,35,Female,4,Clothing,Medium-Value
CUST024,300,1,300.0,49,Female,1,Clothing,Medium-Value
CUST025,50,1,50.0,64,Female,1,Beauty,Low-Value
CUST026,1000,1,1000.0,28,Female,2,Electronics,High-Value
CUST027,50,1,50.0,38,Female,2,Beauty,Low-Value
CUST028,500,1,500.0,43,Female,1,Beauty,Medium-Value
CUST029,30,1,30.0,42,Female,1,Electronics,Low-Value
CUST030,900,1,900.0,39,Female,3,Beauty,High-Value
CUST031,1200,1,1200.0,44,Male,4,Electronics,High-Value
CUST032,90,1,90.0,30,Male,3,Beauty,Low-Value
CUST033,100,1,100.0,50,Female,2,Electronics,Medium-Value
CUST034,150,1,150.0,51,Female,3,Clothing,Medium-Value
CUST035,900,1,900.0,58,Female,3,Beauty,High-Value
CUST036,900,1,900.0,52,Male,3,Beauty,High-Value
CUST037,75,1,75.0,18,Female,3,Beauty,Low-Value
CUST038,200,1,200.0,38,Male,4,Beauty,Medium-Value
CUST039,120,1,120.0,23,Male,4,Clothing,Medium-Value
CUST040,50,1,50.0,45,Male,1,Beauty,Low-Value
CUST041,50,1,50.0,34,Male,2,Clothing,Low-Value
CUST042,900,1,900.0,22,Male,3,Clothing,High-Value
CUST043,300,1,300.0,48,Female,1,Clothing,Medium-Value
CUST044,25,1,25.0,22,Female,1,Clothing,Low-Value
CUST045,30,1,30.0,55,Female,1,Electronics,Low-Value
CUST046,1200,1,1200.0,20,Female,4,Electronics,High-Value
CUST047,1500,1,1500.0,40,Female,3,Beauty,High-Value
CUST048,900,1,900.0,54,Male,3,Electronics,High-Value
CUST049,1000,1,1000.0,54,Female,2,Electronics,High-Value
CUST050,75,1,75.0,27,Female,3,Beauty,Low-Value
CUST051,75,1,75.0,27,Male,3,Beauty,Low-Value
CUST052,300,1,300.0,36,Female,1,Beauty,Medium-Value
CUST053,100,1,100.0,34,Male,2,Electronics,Medium-Value
CUST054,1500,1,1500.0,38,Female,3,Electronics,High-Value
CUST055,120,1,120.0,31,Male,4,Beauty,Medium-Value
CUST056,900,1,900.0,26,Female,3,Clothing,High-Value
CUST057,30,1,30.0,63,Female,1,Beauty,Low-Value
CUST058,1200,1,1200.0,18,Male,4,Clothing,High-Value
CUST059,50,1,50.0,62,Male,1,Clothing,Low-Value
CUST060,150,1,150.0,30,Male,3,Beauty,Medium-Value
CUST061,200,1,200.0,21,Male,4,Beauty,Medium-Value
CUST062,100,1,100.0,18,Male,2,Beauty,Medium-Value
CUST063,50,1,50.0,57,Male,2,Electronics,Low-Value
CUST064,100,1,100.0,49,Male,4,Clothing,Medium-Value
CUST065,2000,1,2000.0,51,Male,4,Electronics,High-Value
CUST066,30,1,30.0,45,Female,1,Electronics,Low-Value
CUST067,1200,1,1200.0,48,Female,4,Beauty,High-Value
CUST068,300,1,300.0,25,Male,1,Electronics,Medium-Value
CUST069,75,1,75.0,56,Female,3,Beauty,Low-Value
CUST070,300,1,300.0,43,Female,1,Clothing,Medium-Value
CUST071,100,1,100.0,51,Female,4,Beauty,Medium-Value
CUST072,2000,1,2000.0,20,Female,4,Electronics,High-Value
CUST073,90,1,90.0,29,Male,3,Electronics,Low-Value
CUST074,2000,1,2000.0,18,Female,4,Beauty,High-Value
CUST075,200,1,200.0,61,Male,4,Beauty,Medium-Value
CUST076,100,1,100.0,22,Female,2,Electronics,Medium-Value
CUST077,100,1,100.0,47,Female,2,Clothing,Medium-Value
CUST078,1500,1,1500.0,47,Female,3,Clothing,High-Value
CUST079,300,1,300.0,34,Male,1,Beauty,Medium-Value
CUST080,60,1,60.0,64,Female,2,Clothing,Low-Value
